SourceOfWO,Title,RequestTypeName,TierCode,PriorityInterdepart,PriorityInternal,SLAWorkingDays,DueDate,MonitoringEmail,AssigneeEmail,AssignedHours,TenderOrProjectCode,IndicativeValue,ComplexityValue,Remark,ExtWoNo,ProjectCode,SourceDeptCode,EndUser,ReceivedDate,Status
CMT,Tender - JPNIN - Sewaan ICT,Tender / RFP,1,High,High,-23,02-01-26,suhadi@10creativesolutions.com,,24,QT250000000036365,,,[HIJAU] PERKHIDMATAN SEWAAN PERALATAN ICT CEKAP TENAGA UNTUK JABATAN PERPADUAN NEGARA DAN INTEGRASI NASIONAL ZON SEMENANJUNG BAGI TEMPOH 42 BULAN,200-15122025-002,,CMT,JPNIN,25-01-26,
CSI,Tender - Consultant - WCM - Prebid Meeting,Tender / RFP,1,High,High,-20,05-01-26,suhadi@10creativesolutions.com,,4,WCM.Prebid,,,"Weekly Meeting for Tender WCC Hospital Melaka (Design & Built) will be held as per below detail:

Agenda: Design Concept Proposal & TOC /documentation

Date : Monday / 05.01.2026
Time: 10.00am - 1.00pm
Venue: Logikontrol Office
",,,CSI,WCM,25-01-26,
CMT,Tender - UiTM Kuala Pilah - WiFi,Tender / RFP,1,High,High,-20,05-01-26,suhadi@10creativesolutions.com,,24,UiTM/N1/PER/T/B/1125/0001,,,"MENAIKTARAF SISTEM RANGKAIAN WiFi DI 5 BLOK BANGUNAN PENTADBIRAN, 2 BLOK BANGUNAN AKADEMIK DAN 3 KAWASAN GUNASAMA BAGI UiTM CAWANGAN NEGERI SEMBILAN KAMPUS KUALA PILAH",200-17122025-001,,CMT,UiTM Kuala Pilah,25-01-26,
CMT,Tender - KKM - Cloud,Tender / RFP,1,High,High,-20,05-01-26,suhadi@10creativesolutions.com,,24,QT250000000034176,,,[FTA(CPTPP)] PEMBANGUNAN PERKHIDMATAN PENGKOMPUTERAN AWAN PERSENDIRIAN UNTUK KEMENTERIAN KESIHATAN MALAYSIA BAGI TEMPOH KONTRAK 41 BULAN,200-21112025-003,,CMT,KKM,25-01-26,
CMT,Tender - KKM - Poli Zon Selatan,Tender / RFP,1,High,High,-20,05-01-26,suhadi@10creativesolutions.com,,24,QT250000000034275,,,"[FTA/CPTPP](HIJAU) PERKHIDMATAN SEWAAN BERPUSAT PERKAKASAN ICT BAGI 5 ZON SECARA SEWA GUNA UNTUK KEGUNAAN KEMENTERIAN PENDIDIKAN TINGGI (KPT), JABATAN, POLITEKNIK DAN KOLEJ KOMUNITI BAGI ZON SELATAN : JOHOR, MELAKA & N.SEMBILAN",200-18112025-001,,CMT,KKM,25-01-26,
CSI,Tender - KKM - Poli Zon Tengah,Tender / RFP,1,High,High,-20,05-01-26,suhadi@10creativesolutions.com,,24,QT250000000034274,,,"[FTA/CPTPP](HIJAU) PERKHIDMATAN SEWAAN BERPUSAT PERKAKASAN ICT SECARA SEWA GUNA UNTUK KEGUNAAN KEMENTERIAN PENDIDIKAN TINGGI (KPT), JABATAN, POLITEKNIK DAN KOLEJ KOMUNITI BAGI ZON TENGAH : PERAK, SELANGOR, W.P. KUALA LUMPUR DAN W.P. PUTRAJAYA",200-18112025-002,,CSI,KKM,25-01-26,
CMT,Tender - KKM - Poli Zon TImur,Tender / RFP,1,High,High,-20,05-01-26,suhadi@10creativesolutions.com,,24,QT250000000034272,,,"[FTA/CPTPP](HIJAU) PERKHIDMATAN SEWAAN BERPUSAT PERKAKASAN ICT SECARA SEWA GUNA UNTUK KEGUNAAN KEMENTERIAN PENDIDIKAN TINGGI (KPT), JABATAN, POLITEKNIK DAN KOLEJ KOMUNITI BAGI ZON TIMUR : KELANTAN, PAHANG & TERENGGANU",200-18112025-003,,CMT,KKM,25-01-26,
CMT,Tender - KKM - Poli Zon Utara,Tender / RFP,1,High,High,-20,05-01-26,suhadi@10creativesolutions.com,,24,QT250000000034273,,,"[FTA/CPTPP](HIJAU) PERKHIDMATAN SEWAAN BERPUSAT PERKAKASAN ICT SECARA SEWA GUNA UNTUK KEGUNAAN KEMENTERIAN PENDIDIKAN TINGGI (KPT), JABATAN, POLITEKNIK DAN KOLEJ KOMUNITI BAGI ZON UTARA : PERLIS, KEDAH & PULAU PINANG",200-18112025-004,,CMT,KKM,25-01-26,
CSI,BIM - HSML - BIM Coordination Meeting,BIM Postsales Total Solution,1,High,High,-19,06-01-26,suhadi@10creativesolutions.com,,8,HSML.Consultant,,,BIM Coordination Meeting - Online,,,CSI,HSML,25-01-26,
CSI,BIM - HUSM - Model ICT trunking,BIM Postsales Total Solution,1,High,High,4,06-01-26,suhadi@10creativesolutions.com,,24,HUSM.Consultant,,,HUSM – Model ICT trunking and coordinate fiber optic routing from Sub TCR to Level 4 TCR.,,,CSI,HUSM,01-02-26,
CSI,Tender - Consultant - HSA2 - M&R - Prebid Meeting,Tender / RFP,1,High,High,-19,06-01-26,suhadi@10creativesolutions.com,,4,HSA2 - M&R.Prebid,,,Prebid Meeting,,,CSI,HSA2 - M&R,25-01-26,
CSI,Consultant - USIM - Meeting with PBT,Tender / RFP,1,High,High,-19,06-01-26,suhadi@10creativesolutions.com,,4,USIM.Consultant,,,Meeting with PBT,,,CSI,USIM,25-01-26,
CSI,Kajian Pasaran - USIM - Site visit,Tender / RFP,1,High,High,-19,06-01-26,suhadi@10creativesolutions.com,,4,,,,Site Visit - HPC,,,CSI,USIM,25-01-26,
CSI,Kajian Pasaran - USIM - Site Visit,Tender / RFP,1,High,High,-19,06-01-26,suhadi@10creativesolutions.com,,4,,,,Site Visit - HPC,,,CSI,USIM,25-01-26,
CMT,Tender - KKM - MyCPD,Tender / RFP,1,High,High,-19,06-01-26,suhadi@10creativesolutions.com,,24,QT250000000036597,,,PERKHIDMATAN SOKONGAN TEKNIKAL DAN PENYELENGGARAAN BAGI PERISIAN DAN APLIKASI SISTEM MAKLUMAT CONTINUING PROFESSIONAL DEVELOPMENT (MYCPD) KEMENTERIAN KESIHATAN MALAYSIA BAGI TEMPOH TIGA (3) TAHUN,200-26122025-001,,CMT,KKM,25-01-26,
CSI,BIM - HUSM - BIM Meeting Coordination,BIM Postsales Total Solution,1,High,High,-18,07-01-26,suhadi@10creativesolutions.com,,8,,,,HUSM - BIM Meeting Coordination (Chullan HQ),,,CSI,HUSM,25-01-26,
CSI,Consultant - USIM - Project Meeting,Project Monitoring,1,High,High,-18,07-01-26,suhadi@10creativesolutions.com,,4,USIM.Consultant,,,"Meeting - With Vice Chancelor
- 7 Jan 2026
- USIM",,,CSI,USIM,25-01-26,
CPO,Project - JDN - PR Review,Project Monitoring,1,High,High,-17,08-01-26,suhadi@10creativesolutions.com,,4,TE2554.JDN.10CS,,,Request to review Comstor BOM,400-06012026-006,,CPO,JDN,25-01-26,
CMT,Tender - PDN - Sewaan PC,Tender / RFP,1,High,High,-17,08-01-26,suhadi@10creativesolutions.com,,24,QT250000000032303,,,"TENDER PERKHIDMATAN MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI, MENGUJI DAN MENTAULIAH PERKAKASAN KOMPUTER PERIBADI, KOMPUTER GRAFIK, KOMPUTER RIBA DAN PERISIAN SECARA SEWA GUNA DI PUSAT DARAH NEGARA BAGI TEMPOH 36 BULAN",200-15122025-006,,CMT,PDN,25-01-26,
CSI,BIM - HUSM - Check clash on AR vs ICT,BIM Postsales Total Solution,1,High,High,-16,09-01-26,suhadi@10creativesolutions.com,,,HUSM.Consultant,,,Check clash on AR vs ICT,,,CSI,HUSM,25-01-26,
CMT,Tender - HTKS - ICT,Tender / RFP,1,High,High,-16,09-01-26,suhadi@10creativesolutions.com,,24,QT250000000025524,,,"TENDER PERKHIDMATAN SOKONGAN OPERASI DAN PENYELENGGARAAN BAGI PERKAKASAN ICT, RANGKAIAN, PERISIAN, PUSAT DATA DAN SERVER DI HOSPITAL TANJONG KARANG, SELANGOR KEMENTERIAN KESIHATAN MALAYSIA BAGI TEMPOH KONTRAK 36 BULAN",200-22122025-003,,CMT,HTKS,25-01-26,
CMT,Tender - PDRM - Rangkaian,Tender / RFP,1,High,High,-16,09-01-26,suhadi@10creativesolutions.com,,24,QT240000000012703,,,PERKHIDMATAN PENYELENGGARAAN SECARA PREVENTIVE DAN CORRECTIVE BAGI PERKAKASAN DAN PERISIAN RANGKAIAN KESELAMATAN DAN RANGKAIAN SETEMPAT UNTUK POLIS DIRAJA MALAYSIA (PDRM),200-15122025-004,,CMT,PDRM,25-01-26,
CMT,Tender - JIM - Virtualization,Tender / RFP,1,High,High,-16,09-01-26,suhadi@10creativesolutions.com,,24,QT250000000035730,,,PEROLEHAN PERKHIDMATAN PEMBANGUNAN PERSEKITARAN VIRTUALIZATION DI JIM,200-09122025-001,,CMT,JIM,25-01-26,
CPO,Project - JKDM - Technical Meeting,Project Monitoring,1,High,High,-11,12-01-26,suhadi@10creativesolutions.com,,,TE2557.JKDM-CC,,,"Technical Meeting (JABATAN KASTAM DIRAJA MALAYSIA)

Details: 12 January 2025 (Monday)
Place: Bilik Mesyuarat 2, Aras 2 Selatan, Ibu Pejabat JKDM, Putrajaya
Time: 2.30pm - Finish
",400-09012026-007,,CPO,JKDM,23-01-26,
CMT,Tender - UiTM PP - Rangkaian Wifi,Tender / RFP,1,High,High,-11,12-01-26,suhadi@10creativesolutions.com,,24,UiTM/P1/PER/T/B/1125/0003,,,"MENAIKTARAF SISTEM RANGKAIAN WIFI DI 6 BLOK AKADEMIK, 3 BLOK PENTADBIRAN DAN 8 RUANG GUNASAMA DI UiTM CAWANGAN PULAU PINANG KAMPUS PERMATANG PAUH",200-22122025-005,,CMT,UiTM PP,23-01-26,
CMT,Tender - UiTM PP - Rangkaian Wifi,Tender / RFP,1,High,High,-11,12-01-26,suhadi@10creativesolutions.com,,24,UiTM/P1/PER/T/B/1125/0003,,,"MENAIKTARAF SISTEM RANGKAIAN WIFI DI 6 BLOK AKADEMIK, 3 BLOK PENTADBIRAN DAN 8 RUANG GUNASAMA DI UiTM CAWANGAN PULAU PINANG KAMPUS PERMATANG PAUH",200-22122025-005,,CMT,UiTM PP,23-01-26,
CPO,2D Drawing - JDN - Update drawing,Tender / RFP,1,High,High,-10,13-01-26,suhadi@10creativesolutions.com,,24,JDN,,,Update drawing,400-24122025-010,,CPO,JDN,23-01-26,
CSI,Tender - Consultant - HSA2-M&R - Prebid Meeting,Tender / RFP,1,High,High,-10,13-01-26,suhadi@10creativesolutions.com,,24,HSA2-M&R.Prebid,,,HSA2-M&R - Prebid Meeting,,,CSI,HSA2-M&R,23-01-26,
CMT,Tender - HTJS - LIS,Tender / RFP,1,High,High,-10,13-01-26,suhadi@10creativesolutions.com,,24,QT250000000036427,,,"TENDER PERKHIDMATAN PENYELENGGARAAN DAN SOKONGAN OPERASI PERALATAN ICT DAN APLIKASI BAGI LABORATORY INFORMATION SYSTEM (LIS), CENTRAL STERILE SUPPLY SERVICES INFORMATION SYSTEM (CENSSIS) DAN OPERATING THEATRE MANAGEMENT SYSTEM (OTMS) BAGI TEMPOH TIGA (3) TAHUN, HOSPITAL TUANKU JA'AFAR, SEREMBAN, NEGERI SEMBILAN DARUL KHUSUS",200-22122025-001,,CMT,HTJS,23-01-26,
